id,title,description,link,image_link,price,availability,condition,brand,google_product_category,product_type,gtin,mpn
banner-detailing-auto,Banner - Detailing auto,Banner pentru servicii de detailing auto.,https://prynt.ro/banner/detailing-auto,https://prynt.ro/products/banner/detailing-auto.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-inchiriere-birouri,Banner - Închiriere birouri,Banner pentru anunțuri de închiriere birouri.,https://prynt.ro/banner/inchiriere-birouri,https://prynt.ro/products/banner/inchiriere-birouri.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-showroom-deschis,Banner - Showroom deschis,Banner pentru anunțul 'Showroom deschis'.,https://prynt.ro/banner/showroom-deschis,https://prynt.ro/products/banner/showroom-deschis.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-lustragiu-cizmărie,Banner - Lustragiu / Cizmărie,Banner pentru servicii de lustragiu și cizmărie.,https://prynt.ro/banner/lustragiu-cizmărie,https://prynt.ro/products/banner/cizmarie.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-curier-local,Banner - Curier local,Banner pentru servicii de curierat local.,https://prynt.ro/banner/curier-local,https://prynt.ro/products/banner/curier-local.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-transport-marfa,Banner - Transport marfă,Banner pentru servicii de transport marfă.,https://prynt.ro/banner/transport-marfa,https://prynt.ro/products/banner/transport-marfa.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-livram-in-toata-tara,Banner - Livrăm în toată țara,Banner pentru servicii cu livrare națională.,https://prynt.ro/banner/livram-in-toata-tara,https://prynt.ro/products/banner/livram-in-toata-tara.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-magazin-handmade,Banner - Magazin handmade,Banner pentru magazine handmade și creativi.,https://prynt.ro/banner/magazin-handmade,https://prynt.ro/products/banner/magazin-handmade.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-cadouri-personalizate,Banner - Cadouri personalizate,Banner pentru cadouri personalizate.,https://prynt.ro/banner/cadouri-personalizate,https://prynt.ro/products/banner/cadouri-personalizate.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-produse-bio-eco,Banner - Produse bio / eco,Banner pentru produse bio și eco.,https://prynt.ro/banner/produse-bio-eco,https://prynt.ro/products/banner/produse-bio-eco.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-atelier-bijuterii,Banner - Atelier bijuterii,Banner pentru ateliere de bijuterii.,https://prynt.ro/banner/atelier-bijuterii,https://prynt.ro/products/banner/atelier-bijuterii.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-cofetarie-artizanala,Banner - Cofetărie artizanală,Banner pentru cofetării artizanale.,https://prynt.ro/banner/cofetarie-artizanala,https://prynt.ro/products/banner/cofetarie-artizanala.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-incearca-noul-produs,Banner - Încearcă noul produs,Banner pentru promovarea unui produs nou.,https://prynt.ro/banner/incearca-noul-produs,https://prynt.ro/products/banner/incearca-noul-produs.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-lichidare-totala,Banner - Lichidare totală,Banner pentru lichidare totală de stoc.,https://prynt.ro/banner/lichidare-totala,https://prynt.ro/products/banner/lichidare-totala.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-promotie-de-vara,Banner - Promoție de vară,Banner pentru campanii de vară.,https://prynt.ro/banner/promotie-de-vara,https://prynt.ro/products/banner/promotie-de-vara.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-reduceri-de-toamna,Banner - Reduceri de toamnă,Banner pentru reduceri de toamnă.,https://prynt.ro/banner/reduceri-de-toamna,https://prynt.ro/products/banner/reduceri-de-toamna.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-black-friday,Banner - Black Friday,Banner pentru campanii Black Friday.,https://prynt.ro/banner/black-friday,https://prynt.ro/products/banner/black-friday.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-winter-sale,Banner - Winter Sale,Banner pentru oferte de iarnă.,https://prynt.ro/banner/winter-sale,https://prynt.ro/products/banner/winter-sale.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-oferta-exclusiva,Banner - Ofertă exclusivă,Banner pentru oferte exclusive.,https://prynt.ro/banner/oferta-exclusiva,https://prynt.ro/products/banner/oferta-exclusiva.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-reparatii-laptopuri,Banner - Reparații laptopuri,Banner pentru service laptopuri.,https://prynt.ro/banner/reparatii-laptopuri,https://prynt.ro/products/banner/reparatii-laptopuri.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-magazin-electronice,Banner - Magazin electronice,Banner pentru magazine electronice.,https://prynt.ro/banner/magazin-electronice,https://prynt.ro/products/banner/magazin-electronice.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-magazin-electro-it,Banner - Magazin electro IT,Banner pentru magazine electro IT.,https://prynt.ro/banner/magazin-electro-it,https://prynt.ro/products/banner/magazin-electro-it.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-reparam-telefoane,Banner - Reparăm telefoane,Banner pentru servicii de reparații telefoane.,https://prynt.ro/banner/reparam-telefoane,https://prynt.ro/products/banner/reparam-telefoane.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-magazin-incaltaminte,Banner - Magazin încălțăminte,Banner pentru magazine de încălțăminte.,https://prynt.ro/banner/magazin-incaltaminte,https://prynt.ro/products/banner/magazin-incaltaminte.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-magazin-haine,Banner - Magazin haine,Banner pentru magazine de haine.,https://prynt.ro/banner/magazin-haine,https://prynt.ro/products/banner/magazin-haine.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-apartament-de-inchiriat,Banner - Apartament de închiriat,"Banner personalizat pentru promovarea apartamentelor de închiriat. Configurează dimensiuni, material și finisaje.",https://prynt.ro/banner/apartament-de-inchiriat,https://prynt.ro/products/banner/apartament-de-inchiriat.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-apartament-de-vanzare,Banner - Apartament de vânzare,Banner personalizat pentru apartamente de vânzare.,https://prynt.ro/banner/apartament-de-vanzare,https://prynt.ro/products/banner/apartament-de-vanzare.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-barbershop,Banner Barber Shop,Banner pentru frizerii și barber-shop-uri.,https://prynt.ro/banner/barbershop,https://prynt.ro/products/banner/barbershop.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-cabinet-stomatologic,Banner Cabinet Stomatologic,Banner pentru cabinete stomatologice și anunțuri medicale.,https://prynt.ro/banner/cabinet-stomatologic,https://prynt.ro/products/banner/cabinet-stomatologic.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-casa-de-inchiriat,Banner - Casă de închiriat,Banner pentru proprietăţi de închiriat.,https://prynt.ro/banner/casa-de-inchiriat,https://prynt.ro/products/banner/casa-de-inchiriat.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
banner-casa-de-vanzare,Banner - Casă de vânzare,Banner pentru proprietăţi de vânzare.,https://prynt.ro/banner/casa-de-vanzare,https://prynt.ro/products/banner/casa-de-vanzare.jpg,55.00 RON,in stock,new,Prynt,Business & Industrial > Signage > Banners,Bannere Publicitare,,
